                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1104,                0.70236,                 1.0652,                0.74811,                0.61326,                0.65959,                0.33886,                 2.0409,                 1.2019,                 1.8332,             0.00022229,             0.00022229,             0.00022229
                     55,                 1.1075,                0.69371,                  1.052,                0.69779,                0.66103,                0.66929,                0.34486,                 2.0088,                 1.2376,                 1.7594,             0.00022009,             0.00022009,             0.00022009
                     56,                 1.0895,                0.68576,                 1.0532,                0.69019,                0.66775,                0.67829,                  0.343,                 2.0239,                 1.2878,                 1.7612,             0.00021789,             0.00021789,             0.00021789
                     57,                 1.0903,                0.67631,                 1.0504,                0.71625,                0.63744,                0.66699,                0.33904,                 1.9501,                  1.284,                 1.7052,              0.0002157,              0.0002157,              0.0002157
                     58,                  1.069,                0.66552,                 1.0431,                0.70209,                0.66264,                0.66389,                0.34272,                 2.0049,                 1.2847,                  1.747,              0.0002135,              0.0002135,              0.0002135
                     59,                 1.0808,                0.68093,                 1.0454,                0.73136,                 0.6269,                0.66064,                 0.3324,                 1.9416,                 1.2697,                 1.6416,              0.0002113,              0.0002113,              0.0002113
                     60,                 1.0578,                0.67091,                 1.0396,                0.68977,                0.67601,                0.66282,                0.33947,                 2.0374,                 1.2929,                 1.8852,             0.00020911,             0.00020911,             0.00020911
                     61,                 1.0657,                0.65621,                 1.0387,                0.70658,                0.66257,                0.66713,                0.33956,                 1.9749,                 1.2948,                 1.7003,             0.00020691,             0.00020691,             0.00020691
                     62,                 1.0606,                0.66345,                 1.0426,                0.71989,                0.65582,                0.67257,                0.34525,                 2.0331,                 1.2368,                 1.8814,             0.00020472,             0.00020472,             0.00020472
                     63,                 1.0685,                0.66598,                 1.0448,                 0.7297,                0.65468,                0.66457,                0.33496,                 1.9471,                 1.2917,                 1.6668,             0.00020252,             0.00020252,             0.00020252
                     64,                  1.055,                0.66324,                 1.0319,                0.73007,                0.67014,                0.69605,                0.35199,                  2.039,                 1.2173,                 1.7973,             0.00020032,             0.00020032,             0.00020032
                     65,                 1.0528,                0.65194,                 1.0346,                0.64786,                0.70232,                0.67868,                0.34587,                 1.9313,                 1.3935,                 1.6792,             0.00019813,             0.00019813,             0.00019813
                     66,                 1.0373,                0.64932,                 1.0318,                0.69807,                  0.644,                 0.6657,                0.34556,                 1.9497,                 1.2954,                  1.722,             0.00019593,             0.00019593,             0.00019593
                     67,                 1.0521,                0.65986,                 1.0342,                0.69242,                0.67362,                0.67183,                 0.3441,                 1.9178,                 1.3987,                 1.6272,             0.00019373,             0.00019373,             0.00019373
                     68,                 1.0435,                0.64392,                 1.0275,                0.71341,                0.66174,                0.68197,                0.35216,                 1.9597,                 1.3006,                 1.7361,             0.00019154,             0.00019154,             0.00019154
                     69,                 1.0337,                0.64291,                 1.0285,                0.69898,                 0.6555,                0.66193,                0.33236,                 2.0283,                 1.3274,                 1.8341,             0.00018934,             0.00018934,             0.00018934
