                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2543,                0.84255,                 1.1347,                0.63321,                0.64207,                0.62848,                0.32625,                 1.9631,                 1.3276,                 1.6961,             0.00022668,             0.00022668,             0.00022668
                     53,                 1.2373,                0.82036,                 1.1232,                0.70328,                0.65618,                0.66563,                0.33858,                 1.9803,                 1.3803,                 1.6788,             0.00022448,             0.00022448,             0.00022448
                     54,                  1.247,                0.82637,                 1.1226,                0.72181,                0.65601,                0.66856,                0.32937,                  1.935,                 1.2804,                 1.6335,             0.00022229,             0.00022229,             0.00022229
                     55,                 1.2506,                0.82303,                 1.1204,                0.62386,                0.67308,                 0.6478,                0.32942,                 1.8933,                 1.2692,                 1.5863,             0.00022009,             0.00022009,             0.00022009
                     56,                 1.2329,                0.81397,                 1.1219,                0.64749,                0.64314,                0.65237,                0.32916,                 1.9443,                 1.3585,                 1.6841,             0.00021789,             0.00021789,             0.00021789
                     57,                 1.2196,                0.79587,                 1.1108,                0.65723,                0.66897,                   0.66,                0.33843,                   1.99,                 1.3786,                 1.6482,              0.0002157,              0.0002157,              0.0002157
                     58,                  1.205,                0.78976,                 1.1071,                0.66862,                0.66159,                0.65978,                0.33105,                 1.9131,                 1.3181,                 1.6266,              0.0002135,              0.0002135,              0.0002135
                     59,                 1.2289,                0.80487,                 1.1126,                0.66913,                0.65802,                0.66079,                0.34141,                 1.9738,                 1.2958,                 1.6769,              0.0002113,              0.0002113,              0.0002113
                     60,                 1.1949,                0.78595,                 1.1037,                0.65852,                0.66919,                0.64628,                0.32655,                  1.962,                 1.3297,                 1.6571,             0.00020911,             0.00020911,             0.00020911
                     61,                 1.1943,                 0.7742,                 1.1001,                0.62098,                0.66108,                0.63895,                0.33419,                 1.9488,                 1.3382,                 1.6382,             0.00020691,             0.00020691,             0.00020691
                     62,                 1.1959,                0.78035,                 1.1022,                0.68349,                 0.6461,                0.65312,                 0.3369,                  1.993,                 1.3819,                 1.7046,             0.00020472,             0.00020472,             0.00020472
                     63,                 1.1866,                 0.7701,                 1.0933,                0.66089,                0.67264,                0.65274,                0.32305,                 1.9555,                 1.2769,                 1.6415,             0.00020252,             0.00020252,             0.00020252
                     64,                 1.1749,                0.76279,                 1.0883,                0.63496,                0.70734,                0.67506,                0.34755,                 1.8647,                 1.2571,                 1.5629,             0.00020032,             0.00020032,             0.00020032
                     65,                  1.169,                 0.7526,                 1.0882,                0.69883,                0.63372,                0.65083,                0.32886,                 2.0312,                 1.3235,                 1.7552,             0.00019813,             0.00019813,             0.00019813
                     66,                   1.16,                0.75638,                 1.0869,                0.66206,                0.65937,                0.64076,                0.32029,                 1.9269,                 1.3124,                 1.6286,             0.00019593,             0.00019593,             0.00019593
                     67,                 1.1719,                0.75688,                 1.0911,                0.68335,                0.66873,                0.65773,                0.34452,                 1.9265,                 1.3488,                 1.6368,             0.00019373,             0.00019373,             0.00019373
                     68,                 1.1507,                0.73549,                 1.0765,                0.65476,                0.65697,                0.66566,                0.34189,                 1.9187,                 1.2574,                 1.6109,             0.00019154,             0.00019154,             0.00019154
                     69,                  1.156,                0.74073,                 1.0813,                0.69053,                0.61903,                0.64366,                0.32672,                 1.8902,                 1.2574,                 1.6024,             0.00018934,             0.00018934,             0.00018934
                     70,                  1.155,                0.74006,                 1.0785,                0.68012,                0.65574,                 0.6536,                0.33963,                 1.9498,                 1.2562,                  1.663,             0.00018714,             0.00018714,             0.00018714
                     71,                 1.1362,                0.73753,                 1.0756,                0.69938,                0.62632,                0.66198,                0.33788,                 1.9569,                 1.2255,                  1.696,             0.00018495,             0.00018495,             0.00018495
                     72,                 1.1372,                0.72618,                 1.0723,                0.72131,                0.64592,                0.67951,                0.34571,                 1.9066,                 1.2004,                 1.6404,             0.00018275,             0.00018275,             0.00018275
                     73,                 1.1243,                0.72233,                 1.0628,                0.63139,                0.66107,                0.66065,                0.34524,                 1.9684,                 1.3532,                 1.6981,             0.00018055,             0.00018055,             0.00018055
                     74,                 1.1233,                0.71434,                 1.0618,                0.67807,                0.68913,                0.69643,                0.35391,                 1.9363,                 1.2395,                 1.6913,             0.00017836,             0.00017836,             0.00017836
                     75,                   1.12,                0.71826,                 1.0653,                0.65093,                0.65241,                0.65779,                0.33987,                 1.9735,                  1.329,                 1.7209,             0.00017616,             0.00017616,             0.00017616
                     76,                 1.1131,                0.70968,                 1.0639,                0.65038,                 0.7021,                0.67642,                 0.3401,                 1.9386,                 1.2731,                 1.7026,             0.00017396,             0.00017396,             0.00017396
                     77,                 1.1084,                0.71401,                 1.0591,                0.64114,                  0.715,                0.66321,                0.33524,                   1.91,                 1.2811,                 1.6425,             0.00017177,             0.00017177,             0.00017177
                     78,                 1.0996,                0.70044,                 1.0573,                0.66351,                0.67902,                0.66532,                 0.3428,                 1.9206,                 1.2539,                 1.7073,             0.00016957,             0.00016957,             0.00016957
                     79,                 1.0908,                0.69084,                 1.0595,                0.70074,                0.63532,                 0.6474,                0.32852,                 1.9274,                 1.2683,                 1.6636,             0.00016738,             0.00016738,             0.00016738
                     80,                 1.1018,                0.69557,                 1.0594,                0.70499,                0.62943,                0.66283,                0.34463,                 1.9318,                 1.2485,                  1.678,             0.00016518,             0.00016518,             0.00016518
                     81,                 1.0907,                0.68916,                 1.0534,                0.68764,                0.65506,                0.66123,                0.34615,                  1.896,                 1.2892,                 1.6188,             0.00016298,             0.00016298,             0.00016298
                     82,                 1.0987,                0.69302,                 1.0545,                 0.6923,                 0.6466,                0.66699,                0.34516,                 1.8992,                 1.2898,                 1.6365,             0.00016079,             0.00016079,             0.00016079
