                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  1.299,                 1.0084,                 1.1352,                 0.7029,                0.62212,                0.64646,                0.32652,                 1.8244,                  1.325,                 1.4671,              0.0047368,              0.0047368,              0.0047368
                     62,                 1.2959,                  1.004,                 1.1401,                0.67211,                0.67902,                0.65805,                 0.3419,                 1.8062,                 1.3049,                 1.4808,              0.0047207,              0.0047207,              0.0047207
                     63,                 1.2815,                0.99582,                 1.1252,                0.67605,                0.66986,                0.66299,                  0.347,                 1.8037,                  1.332,                 1.4829,              0.0047046,              0.0047046,              0.0047046
                     64,                 1.2824,                 1.0022,                 1.1281,                0.69592,                0.66044,                0.65838,                0.33565,                 1.7963,                 1.3529,                 1.4807,              0.0046885,              0.0046885,              0.0046885
                     65,                 1.2783,                0.97773,                 1.1276,                0.72036,                0.66611,                0.67986,                0.35364,                 1.8465,                 1.3429,                 1.5407,              0.0046724,              0.0046724,              0.0046724
                     66,                 1.2738,                0.97845,                 1.1244,                0.67336,                0.66161,                0.64789,                0.33992,                 1.7393,                 1.3013,                 1.4581,              0.0046562,              0.0046562,              0.0046562
                     67,                 1.2822,                 0.9846,                 1.1281,                0.69513,                0.66919,                0.66705,                 0.3344,                 1.8343,                 1.3336,                 1.4619,              0.0046401,              0.0046401,              0.0046401
                     68,                 1.2758,                0.97215,                   1.12,                0.67926,                0.65247,                0.64679,                0.33277,                  1.757,                 1.3218,                 1.4677,               0.004624,               0.004624,               0.004624
                     69,                 1.2676,                0.96096,                 1.1215,                0.67063,                0.68382,                0.64965,                0.33652,                 1.8246,                 1.3143,                 1.4854,              0.0046079,              0.0046079,              0.0046079
                     70,                 1.2605,                0.97017,                  1.118,                0.64922,                0.67556,                0.65547,                0.33706,                  1.856,                 1.3208,                 1.4953,              0.0045918,              0.0045918,              0.0045918
                     71,                 1.2514,                0.95908,                 1.1129,                0.70935,                0.63434,                0.66271,                0.34107,                 1.8054,                 1.3358,                 1.4787,              0.0045756,              0.0045756,              0.0045756
                     72,                 1.2448,                0.94658,                 1.1119,                0.68966,                0.66789,                0.64868,                0.32807,                 1.8385,                 1.3422,                 1.5163,              0.0045595,              0.0045595,              0.0045595
                     73,                 1.2439,                 0.9372,                 1.0996,                0.69916,                0.67055,                0.66926,                0.34383,                  1.845,                 1.3617,                 1.4935,              0.0045434,              0.0045434,              0.0045434
                     74,                 1.2375,                0.93035,                 1.1027,                0.67415,                0.66159,                  0.649,                 0.3343,                 1.8178,                 1.3295,                 1.5254,              0.0045273,              0.0045273,              0.0045273
                     75,                  1.242,                0.92945,                 1.1078,                0.71215,                 0.6626,                0.66922,                0.34498,                 1.8035,                 1.3561,                 1.4912,              0.0045112,              0.0045112,              0.0045112
                     76,                 1.2278,                 0.9295,                 1.0999,                0.66268,                0.70673,                0.67603,                0.33741,                 1.8832,                 1.3227,                 1.5488,               0.004495,               0.004495,               0.004495
                     77,                 1.2262,                0.93114,                 1.1012,                0.63977,                0.68632,                0.66287,                0.33392,                 1.8569,                 1.3115,                 1.5142,              0.0044789,              0.0044789,              0.0044789
                     78,                 1.2122,                0.91731,                 1.0962,                0.65689,                  0.677,                0.64727,                 0.3398,                 1.7885,                 1.2826,                 1.4904,              0.0044628,              0.0044628,              0.0044628
                     79,                 1.2121,                0.89927,                 1.0983,                0.69736,                0.68429,                0.67791,                0.35334,                  1.778,                 1.2789,                 1.4761,              0.0044467,              0.0044467,              0.0044467
                     80,                 1.2206,                0.91166,                 1.0993,                0.68816,                0.67919,                 0.6714,                0.34825,                 1.7976,                 1.3197,                  1.481,              0.0044306,              0.0044306,              0.0044306
                     81,                 1.2067,                0.89787,                 1.0939,                0.68468,                0.67963,                0.66546,                0.34076,                 1.7829,                  1.273,                 1.4777,              0.0044144,              0.0044144,              0.0044144
                     82,                 1.2098,                0.89972,                  1.092,                0.72289,                0.65607,                0.68612,                0.34935,                 1.8258,                 1.3005,                 1.4879,              0.0043983,              0.0043983,              0.0043983
                     83,                 1.1888,                0.88168,                 1.0891,                0.67065,                0.70866,                0.67478,                0.34787,                 1.8424,                 1.2708,                 1.5177,              0.0043822,              0.0043822,              0.0043822
                     84,                 1.1869,                0.88196,                 1.0897,                0.66153,                0.64969,                0.65394,                0.33265,                 1.8128,                 1.3084,                 1.4888,              0.0043661,              0.0043661,              0.0043661
                     85,                 1.1805,                0.88159,                 1.0809,                0.66396,                 0.6736,                0.63935,                0.33144,                 1.8198,                 1.3581,                 1.5045,                0.00435,                0.00435,                0.00435
                     86,                 1.1886,                0.88468,                 1.0802,                0.66365,                0.67245,                 0.6538,                0.33501,                 1.8322,                 1.3397,                 1.5072,              0.0043338,              0.0043338,              0.0043338
                     87,                 1.1851,                0.88064,                 1.0867,                 0.7014,                0.63332,                0.65796,                 0.3298,                 1.7983,                 1.3266,                 1.5042,              0.0043177,              0.0043177,              0.0043177
