                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2021,                0.88773,                 1.0919,                0.74853,                0.68313,                0.68937,                0.35005,                 1.8258,                 1.2889,                  1.473,              0.0048819,              0.0048819,              0.0048819
                     53,                 1.2065,                0.88689,                 1.0898,                0.70129,                0.65812,                0.69411,                0.34817,                 1.8302,                 1.3464,                  1.502,              0.0048658,              0.0048658,              0.0048658
                     54,                 1.2004,                0.88099,                  1.086,                0.67896,                0.66197,                0.66791,                0.33649,                 1.8197,                 1.2834,                 1.4891,              0.0048497,              0.0048497,              0.0048497
                     55,                   1.21,                0.88239,                 1.0862,                 0.7169,                0.68265,                0.69225,                0.34947,                 1.8617,                 1.2783,                 1.4884,              0.0048335,              0.0048335,              0.0048335
                     56,                 1.1858,                0.86552,                 1.0825,                0.72004,                0.67313,                0.68824,                0.35027,                  1.826,                 1.2939,                 1.4901,              0.0048174,              0.0048174,              0.0048174
                     57,                 1.1913,                0.86497,                 1.0794,                0.71805,                0.69043,                0.68729,                0.34645,                 1.8618,                 1.3118,                 1.5029,              0.0048013,              0.0048013,              0.0048013
                     58,                 1.1764,                0.85247,                 1.0766,                0.73236,                0.67194,                 0.6881,                0.34589,                 1.8839,                 1.2809,                 1.5001,              0.0047852,              0.0047852,              0.0047852
                     59,                  1.186,                0.86193,                 1.0751,                0.69555,                0.67112,                0.66159,                0.33361,                 1.8437,                 1.3211,                 1.4737,              0.0047691,              0.0047691,              0.0047691
                     60,                 1.1602,                0.84337,                 1.0698,                0.71256,                 0.6836,                0.67721,                0.33595,                 1.8457,                 1.3267,                  1.488,              0.0047529,              0.0047529,              0.0047529
                     61,                 1.1718,                0.84257,                 1.0686,                0.67906,                0.67756,                0.67239,                0.33771,                 1.8384,                  1.285,                 1.4866,              0.0047368,              0.0047368,              0.0047368
                     62,                 1.1739,                0.84503,                 1.0732,                0.69459,                0.67225,                  0.669,                0.33463,                 1.8472,                 1.2901,                 1.4901,              0.0047207,              0.0047207,              0.0047207
                     63,                 1.1637,                 0.8397,                  1.067,                 0.7186,                0.67241,                0.67525,                0.34079,                 1.9149,                 1.3359,                 1.5518,              0.0047046,              0.0047046,              0.0047046
                     64,                 1.1614,                0.83986,                  1.065,                0.66426,                0.70671,                0.68536,                0.33128,                 1.8952,                 1.3066,                 1.5334,              0.0046885,              0.0046885,              0.0046885
                     65,                 1.1583,                0.82633,                 1.0644,                0.73778,                0.68736,                 0.6913,                0.34161,                 1.8977,                 1.3114,                 1.5233,              0.0046724,              0.0046724,              0.0046724
                     66,                 1.1469,                0.82142,                 1.0595,                0.75787,                0.66537,                0.70049,                 0.3486,                 1.8902,                 1.2598,                 1.5045,              0.0046562,              0.0046562,              0.0046562
                     67,                 1.1576,                0.83318,                  1.067,                 0.7056,                 0.6967,                0.69921,                0.35273,                 1.9112,                  1.261,                 1.5296,              0.0046401,              0.0046401,              0.0046401
                     68,                 1.1423,                 0.8175,                 1.0541,                0.71735,                0.63882,                0.67643,                0.33449,                 1.8403,                 1.2957,                 1.4954,               0.004624,               0.004624,               0.004624
                     69,                 1.1411,                0.81842,                 1.0581,                0.69903,                0.66936,                0.67267,                0.33131,                 1.9252,                  1.278,                  1.531,              0.0046079,              0.0046079,              0.0046079
                     70,                  1.154,                0.82898,                 1.0618,                  0.723,                0.67859,                0.67315,                0.33246,                 1.8618,                  1.297,                 1.5554,              0.0045918,              0.0045918,              0.0045918
                     71,                 1.1364,                0.81537,                 1.0566,                0.71079,                0.68757,                0.69802,                0.34073,                 1.8829,                 1.2769,                 1.5661,              0.0045756,              0.0045756,              0.0045756
                     72,                 1.1364,                0.81044,                 1.0548,                 0.7666,                0.66713,                0.68725,                0.33455,                  1.848,                 1.2582,                 1.5195,              0.0045595,              0.0045595,              0.0045595
                     73,                 1.1323,                0.80784,                 1.0452,                0.70342,                0.68634,                0.68382,                0.34765,                 1.8924,                 1.2867,                 1.4795,              0.0045434,              0.0045434,              0.0045434
                     74,                 1.1247,                0.79787,                 1.0449,                 0.7247,                0.66152,                0.69165,                0.33862,                 1.8718,                 1.2592,                 1.5039,              0.0045273,              0.0045273,              0.0045273
                     75,                 1.1243,                0.79407,                 1.0549,                0.70826,                 0.6648,                 0.6792,                0.34119,                  1.856,                 1.2751,                 1.5107,              0.0045112,              0.0045112,              0.0045112
                     76,                 1.1218,                0.79707,                 1.0487,                0.70421,                0.69328,                0.69045,                0.34299,                 1.9168,                 1.2798,                  1.538,               0.004495,               0.004495,               0.004495
                     77,                 1.1182,                0.79716,                 1.0484,                0.71038,                0.70394,                0.70048,                0.34178,                 1.8936,                 1.2669,                 1.5152,              0.0044789,              0.0044789,              0.0044789
                     78,                 1.1119,                0.78636,                 1.0458,                0.72031,                0.67869,                0.67868,                0.34512,                 1.8642,                 1.2318,                 1.5122,              0.0044628,              0.0044628,              0.0044628
                     79,                 1.1012,                0.77928,                 1.0446,                0.70195,                0.67842,                0.68346,                0.33836,                 1.8623,                 1.2447,                 1.5092,              0.0044467,              0.0044467,              0.0044467
                     80,                 1.1185,                0.78824,                 1.0485,                0.69395,                0.66352,                 0.6974,                 0.3483,                 1.8456,                 1.2763,                 1.5191,              0.0044306,              0.0044306,              0.0044306
                     81,                  1.103,                0.78272,                 1.0435,                0.64668,                0.71088,                0.67129,                0.33873,                 1.8963,                 1.2454,                  1.557,              0.0044144,              0.0044144,              0.0044144
                     82,                 1.1086,                0.77843,                 1.0417,                0.68267,                 0.6776,                 0.6814,                0.34396,                 1.9027,                 1.2391,                 1.5078,              0.0043983,              0.0043983,              0.0043983
                     83,                 1.0882,                0.76126,                 1.0387,                0.69794,                 0.6947,                0.67721,                0.34488,                 1.8896,                 1.2668,                 1.5142,              0.0043822,              0.0043822,              0.0043822
                     84,                 1.0923,                0.77445,                 1.0424,                0.67191,                0.70187,                0.68192,                0.34776,                  1.897,                 1.2907,                  1.525,              0.0043661,              0.0043661,              0.0043661
                     85,                 1.0768,                 0.7602,                 1.0315,                0.64919,                0.68975,                0.67696,                0.34153,                 1.8652,                 1.2397,                 1.5236,                0.00435,                0.00435,                0.00435
                     86,                 1.0877,                0.76648,                 1.0326,                0.72924,                0.65791,                0.68003,                0.34502,                 1.8904,                 1.2845,                  1.499,              0.0043338,              0.0043338,              0.0043338
                     87,                 1.0934,                0.76938,                 1.0397,                0.69314,                 0.7036,                0.68105,                0.34521,                 1.8714,                 1.2516,                 1.5195,              0.0043177,              0.0043177,              0.0043177
                     88,                 1.0777,                 0.7532,                  1.027,                0.67665,                0.71614,                0.68889,                0.34227,                 1.8715,                 1.2479,                 1.5119,              0.0043016,              0.0043016,              0.0043016
